Cidade;País;Pop
Tokyo;Japan;33,4
Seoul;South Korea;23,2
Mexico City;Mexico;22,1
New York;USA;21,8
Bombay;India;21,3
Delhi;India;21,1
Sao Paulo;Brazil;20,4
Los Angeles;USA;17,9
Shanghai;China;17,3
Osaka;Japan;16,6
Cairo;Egypt;15,9
Calcutta;India;15,5
Manila;Philippines;15,4
Jakarta;Indonesia;14,9
Karachi;Pakistan;14,8
Canton;China;14,5
Dacca;Bangladesh;13,8
Buenos Aires;Argentina;13,5
Moscow;Russia;13,4
Beijing;China;12,7
Rio de Janeiro;Brazil;12,2
Tehran;Iran;12,1
London;Great Britain ;12
Istanbul;Turkey;11,7
Lagos;Nigeria;10
Paris;France;9,95
Chicago;USA;9,75
Shenzhen;China;9
Bangkok;Thailand;8,55
Wuhan;China;8,55
